id,title,description,link,image_link,price,availability
PIN-1101,Beaded Maasai Tribal Bracelet,Made in East Africa; Maasai tribal bracelet; Loose fit; Snap buttons,https://www.peepthevisualsshop.com/product/beaded-maasai-tribal-bracelet/18?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/SN9ZZ6g5/DSC-0401.jpg,20USD,in stock
PIN-1201,Ugandan Beaded Bracelet,"Yellow, red, black beading; Ugandan colors; Snug fit, no stretch",https://www.peepthevisualsshop.com/product/ugandan-beaded-bracelet/14?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/CMQ2zGtm/DSC-0011.jpg,10USD,in stock
PIN-1301,Jamaican Beaded Bracelet,"Yellow, green, black beading; Jamaican flag; Snug fit, no stretch",https://www.peepthevisualsshop.com/product/jamaican-beaded-bracelet/13?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/1tTHBXws/DSC-0021.jpg,10USD,in stock
PIN-1401,Rainbow Beaded Bracelet,Wrap-around rainbow beaded bracelet; Snug fit; Beads and leather; Snap buttons to close,https://www.peepthevisualsshop.com/product/rainbow-beaded-bracelet/19?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/NjTWHqhK/DSC-0431.jpg,10USD,in stock
PIN-1501,"Red, Black, and Gold Beaded Wrap Bracelet",Wrap-around beaded bracelet; Snug fit; Beads and leather; Snap buttons to close,https://www.peepthevisualsshop.com/product/red-black-and-gold-beaded-bracelet/20?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/Vs2wrFSH/DSC-0454.jpg,10USD,in stock
PIN-1601,Ugandan Leather Bracelet,"Leather and beaded strap; Ugandan colors: Red, yellow, and black beads; Snap button",https://www.peepthevisualsshop.com/product/ugandan-beaded-bracelet/15?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/d1L4Xzqw/DSC-1173.jpg,12USD,in stock
PIN-1701,Kenyan Beaded Leather Bracelet,"Kenyan colors: red, green, black beads; Leather band; Snap buttons; Snug fit",https://www.peepthevisualsshop.com/product/kenyan-beaded-leather-bracelet/16?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/xC6Vyr6Q/DSC-0387.jpg,12USD,in stock
PIN-1801,Faded Yellow & Gray Bracelet,Washed look; For small to medium-sized hands - no stretch; Fabric material,https://www.peepthevisualsshop.com/product/faded-yellow-and-gray-bracelet/22?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/ZYFzLdDH/DSC-0459-2.jpg,10USD,in stock
PIN-1901,Green & Gold Crystal Ball Pendant Necklace,"Color choices: green/gold, blue/gold; Brown leather cord; Silver clasp",https://www.peepthevisualsshop.com/product/crystal-ball-pendant-necklace/26?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/4NDvNYXC/DSC-0366.jpg,30USD,in stock
PIN-2001,Blue & Gold Crystal Ball Pendant Necklace,"Color choices: green/gold, blue/gold; Brown leather cord; Silver clasp",https://www.peepthevisualsshop.com/product/crystal-ball-pendant-necklace/26?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/tT4WmPN6/DSC-0380.jpg,30USD,in stock
PIN-2101,Wood & Beaded Necklace,Colorful beading attached to wood pieces; Gold clasp,https://www.peepthevisualsshop.com/product/wood-and-beaded-necklace/24?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/tTst4Wnj/DSC-0478.jpg,20USD,in stock
PIN-2201,African Paper Beaded Necklace,Made in East Africa; Variety of color choices; Each piece uniquely crafted; Made of recycled paper; Colored and gold beading; Screw barrel clasp ,https://www.peepthevisualsshop.com/product/african-paper-beaded-necklace/28?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/3rX58vXp/DSC-1130.jpg,20USD,in stock
PIN-2301,Sunshine & Rainbows Beaded Sandals,Made in East Africa Hand-made; Hand-beaded; 100% Genuine leather; One size: US size: 9.5 / Euro size: 40,https://www.peepthevisualsshop.com/product/sunshine-rainbows-beaded-sandals/29?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/wv3MKkyh/DSC-0533.jpg,50USD,in stock
